0.09,-0.07,1.01,-1.46,2.62,1.1
0.13,0,1.05,-1.46,1.28,1.34
0.03,0,0.76,0.24,4.46,1.89
0.02,0.02,0.98,-0.92,6.59,-0.12
0.11,-0.05,1.02,-1.28,5.43,-0.06
0.07,-0.05,1.01,-1.46,1.65,1.16
0.06,-0.03,1.01,-1.46,-0.24,0.85
0.05,-0.05,1.01,-1.53,-1.65,0.92
0.02,-0.05,1.02,-1.71,-1.89,0.55
0,-0.04,1,-1.34,-0.24,1.53
0.03,-0.04,1.01,-1.71,-0.06,1.59
0,-0.03,1.03,-1.04,0.55,0.06
0.01,-0.05,1,-1.59,1.28,0.61
0.04,-0.03,1.02,-1.46,0,1.4
0.03,-0.05,1.02,-1.53,-1.04,0.67
0,-0.02,1.01,-1.34,-1.04,0.43
0,-0.04,1.02,-1.53,-1.22,0.79
-0.01,-0.03,1.01,-1.28,-1.22,0.61
-0.02,-0.04,1.01,-1.34,-0.67,1.04
-0.02,-0.04,1.01,-1.4,-0.24,0.79
-0.02,-0.03,1.01,-1.46,0.18,0.49
-0.02,-0.04,1.01,-1.28,0.37,0.85
-0.03,-0.03,1.02,-1.59,0.92,1.22
-0.03,-0.03,1.01,-1.28,2.2,0.31
-0.06,-0.04,1.01,-1.4,4.58,-0.24
-0.05,-0.03,1,-0.98,8.61,-2.08
0.02,-0.06,1.01,-1.1,10.25,-0.92
0.05,-0.03,1,-0.98,8.3,1.83
0.08,-0.04,1.01,-0.98,5.92,1.65
0.05,-0.03,1.03,-1.22,5.92,-0.24
0.21,-0.05,1,-1.04,0,0.98
-0.04,-0.04,1.02,-1.04,1.4,-2.14
0.05,0,1.01,-1.34,3.3,0.67
0.03,-0.06,0.99,-0.98,5.13,-1.16
0.1,-0.08,1.01,-1.95,3.17,-0.18
0.1,-0.02,0.97,-0.73,9.46,4.03
0.12,0,1.11,-2.26,3.11,0.98
0.09,-0.15,1.03,-2.56,-1.22,-1.83
0.12,0.16,0.99,-1.1,1.4,3.85
-0.02,-0.07,1.07,-0.67,2.93,2.81
0.05,-0.09,1.03,-3.6,5.98,-1.65
0.2,-0.04,1.02,-3.23,7.93,-1.95
0.24,-0.02,0.93,-0.79,1.4,0.12
0.13,0.17,1.01,0.37,0.43,1.65
0.21,-0.03,0.98,0.61,-8.73,-1.59
-0.16,-0.31,1.08,-1.28,-5.86,2.38
0.12,0.05,0.97,-1.4,2.32,-0.92
0.16,0.03,0.99,-0.43,0.18,2.38
0.43,-0.09,1,-1.83,-6.77,0.92
0.33,0.05,1.01,-3.3,-36.74,4.52
-0.34,0.04,0.94,-2.56,-36.07,8.97
-0.38,-0.08,1,-2.38,-18.62,3.11
-0.23,-0.11,1.01,-1.28,-4.64,-1.28
-0.17,-0.13,1,-1.28,-1.22,-0.61
-0.18,-0.09,1,-1.59,-1.65,1.83
-0.17,-0.03,1,-1.4,-0.37,0.43
-0.18,-0.03,1,-1.22,0.85,0.06
