0.69,0.12,0.69,2.44,0.61,-3.05
0.68,0.05,0.69,0.12,0.73,-1.34
0.68,0.05,0.69,-2.99,0.85,2.56
0.68,0.05,0.7,-6.59,1.34,6.23
0.68,0.07,0.7,-11.41,1.59,10.8
0.66,0.09,0.68,-17.82,1.89,16.91
0.65,0.1,0.67,-27.28,2.26,25.39
0.61,0.13,0.63,-39.31,3.05,36.93
0.52,0.17,0.54,-59.02,3.72,55.05
0.43,0.06,0.46,-86.61,4.39,80.38
0.23,2.1,0.15,-133.18,7.57,115.3
-0.03,0.96,-0.03,-23.56,0.24,26.06
-0.26,0.19,0.41,-29.42,13.12,30.52
0.18,1.24,0.25,10.07,5.98,-17.33
0.36,1.17,-0.05,82.4,-5.98,-71.11
0.8,2.77,0.34,73.55,0.49,-81.12
0.23,0.07,0.3,43.64,-2.01,-58.17
0.29,0.44,0.34,57.62,-5.31,-54.44
0.45,0.09,0.58,45.41,-1.53,-42.05
0.63,0.1,0.74,34.79,-0.73,-30.09
0.64,0.11,0.71,22.46,-0.24,-20.14
0.67,0.1,0.71,15.14,0.31,-13.24
0.71,0.04,0.69,7.14,0.55,-6.53
0.71,-0.03,0.7,0.12,0.55,-1.53
0.7,0,0.7,-3.85,0.92,2.93
0.68,0.03,0.72,-8.24,1.1,6.9
0.66,0.05,0.73,-12.94,1.4,11.96
0.65,0.09,0.72,-19.96,1.89,18.19
0.63,0.09,0.69,-29.97,2.56,27.47
0.59,0.11,0.63,-44.56,3.54,40.89
0.51,0.16,0.52,-65.98,5.13,60.73
0.31,0.2,0.3,-93.63,7.57,87.95
0.65,3.14,-0.03,-151.06,15.63,132.87
0.06,1.33,0.09,12.08,2.38,27.28
0.02,3.24,-0.08,50.05,7.39,-12.88
0.32,1.82,0.1,76.29,5.68,-41.87
0.37,1.27,0.28,74.95,0.73,-101.2
0.56,1.84,0.59,45.23,-5.86,-66.53
0.97,0.55,0.92,56.15,0.73,-49.01
0.27,-0.13,0.39,41.99,2.87,-35.1
0.75,0.28,0.81,30.21,-0.06,-27.47
0.66,0.14,0.67,22.16,0.55,-18.01
0.67,0.09,0.69,18.25,0.49,-13.49
0.68,0.09,0.7,15.87,0.55,-11.54
0.67,0.01,0.72,9.46,0.67,-8.18
0.7,-0.02,0.71,3.6,0.98,-4.27
0.69,-0.02,0.71,0.49,0.79,-1.46
0.68,-0.02,0.72,-1.59,0.79,2.14
0.67,0.01,0.72,-4.21,0.92,4.21
0.67,0.07,0.74,-4.27,0.79,3.17
0.69,0.09,0.7,-5.37,1.83,4.52
0.68,0.15,0.77,-20.69,2.69,-2.87
