0.01,0.11,0.98
0.01,0.11,0.98
0.01,0.11,0.98
0.01,0.11,0.98
0.02,0.11,0.99
0.01,0.11,0.98
0,0.11,0.98
0.03,0.11,0.98
0.13,0.16,0.98
0.05,0.1,1.02
-0.09,0.04,1.06
0.06,0.09,1.17
-0.04,0.11,1.12
-0.05,0.1,1.02
-0.12,0.08,0.98
-0.06,0.17,1.04
0.3,0.12,0.85
0.08,0.16,1.03
0.4,0.26,1.1
-0.2,0.06,1.2
-0.35,0.01,1.03
-0.22,0.02,0.87
0.01,0.28,1.17
0.01,0.13,0.99
0.07,0.14,1.01
0.09,0.15,0.92
-0.09,0.11,0.93
0.07,0.15,0.88
0.26,0.07,0.72
0.61,0.07,0.75
0.52,0.07,0.58
0.78,-0.08,0.93
1.06,0.02,0.32
0.86,0.04,0.28
1.18,0.42,0.58
1.11,0.06,0.46
1.16,0.23,0.28
1.04,0.18,0.45
0.65,-0.07,0.51
0.87,0.35,0.38
0.96,0.22,-0.05
0.55,0.41,0.68
0.54,-0.07,0.57
0.48,0.28,1.09
-0.03,0.13,0.77
-0.06,0.25,1.11
-0.3,0.09,0.97
-0.33,0.16,1.06
-0.27,0.04,0.88
-0.23,0.09,0.99
-0.17,0.06,0.89
0.15,0.09,0.74
0.51,0.1,0.56
0.7,0.09,0.45
1.35,-0.32,0.96
1.1,0.18,0.58
0.48,0.16,0.29
1.13,0.2,0.53
1.12,0.1,0.23
1.15,0.15,0.27
1.05,0.14,0.4
1.18,0.24,0.39
1.01,0.29,0.47
0.8,0.45,1.75
-0.04,0.1,0.67
0.88,0.38,1.5
0.49,-0.14,1.03
-0.17,-0.14,0.64
-0.15,0.21,1.06
-0.16,0.07,0.82
-0.24,0.11,0.88
-0.45,0.01,1
-0.45,0.16,1.03
-0.58,0.05,0.9
-0.47,0.11,0.96
-0.22,0.03,0.89
-0.12,0.08,0.9
0.15,0.11,0.76
0.23,0.08,0.57
0.7,-0.03,0.46
0.8,0.05,0.71
0.98,0.5,0.75
1.21,0.28,0.43
1.55,0.31,0.15
1.12,0.02,0.16
1.13,0.05,0.34
1.14,0.23,0.41
1.23,0.15,0.22
0.77,0.15,0.43
0.68,0.15,0.35
0.49,0.07,1.73
0.68,0.11,0.49
-0.04,0.13,1.14
0.27,0.13,0.93
0.19,0.23,0.98
0.03,0.13,0.85
-0.2,0.17,0.94
-0.33,0.13,1.07
-0.33,0.15,1.03
-0.54,0.1,1.09
-0.43,0.14,0.98
-0.5,0.07,0.98
-0.33,0.1,0.96
-0.23,0.05,0.83
-0.11,0.1,0.81
0.19,0.04,0.73
0.71,0.19,0.44
1,0.17,0.55
1.49,0.07,0.82
1.41,0.1,0.66
1.23,-0.24,0.3
0.76,0.34,0.64
1.17,0.05,0.4
1.07,0.02,0.29
1.13,0.14,0.33
1.23,0.06,0.5
0.6,-0.01,0.24
0.57,-0.03,0.26
1.06,-0.02,0.48
0.02,0.27,0.77
-0.04,0.26,1.17
0.04,0.13,0.99
-0.08,0.14,0.95
-0.3,0.11,0.79
-0.27,0.14,0.87
-0.22,0.06,0.93
-0.38,0.14,1.06
-0.48,0.05,0.94
-0.31,0.11,0.96
-0.26,0.11,0.93
-0.16,0.12,0.95
-0.09,0.07,0.87
0.34,0.25,0.68
0.15,0.08,0.81
0.76,0.13,0.58
1.34,-0.04,1.09
1.14,0.26,0.25
0.48,0.18,0.67
1.71,-0.11,0.56
0.74,-0.28,0.23
1.15,0.22,0.31
0.93,0.02,0.3
0.96,0.15,0.41
1.04,0.18,0.26
0.73,0.11,0.38
1.13,-0.02,-1.23
0.57,0.1,0.71
-0.27,0.05,0.23
0.13,0.09,0.61
0.19,0.09,1.08
0.05,0.07,0.95
-0.23,0.18,0.96
-0.44,0.17,1.05
-0.43,0.06,0.87
-0.4,0.09,0.93
-0.35,0.15,0.89
-0.3,0.02,0.96
-0.34,0.1,1.03
-0.3,0.1,0.93
-0.24,0.06,0.88
-0.09,0.1,0.89
0,0.07,0.82
0.7,0.2,0.45
